Channel Quality
--------------------------------------------------------------------------------
AP Name                           RID   Channel   Avg-AQ   Min-AQ  Interference
--------------------------------------------------------------------------------
test_ap01                        	1     40        89    	 89	     0
test_ap01                         2    	11        69    	 64    	 0
test_ap02                         1    	40    	  100    	 100     0
test_ap02                         2    	6    	    68    	 68    	 0
test_ap03                         1    	100    	  94    	 91    	 0
test_ap03                         2    	1    	    50    	 46    	 0
test_ap04                         1    	112    	  99       99    	 0
test_ap04                         2    	6    	    51    	 50    	 0
test_ap05                         1    	40    	  94    	 94    	 0
test_ap05                         2    	6    	    44    	 44    	 0
test_ap06                         1    	64    	  90    	 87      0
test_ap06                         2    	6    	    60    	 60    	 0
test_ap07                         1    	52    	  90    	 76    	 0
test_ap07                         2    	11    	  87    	 87    	 0
test_ap08                         1    	40    	  100    	 100     0
test_ap08                         2    	6    	    87    	 82    	 0
test_ap09                         1    	116    	  100    	 100     0
test_ap09                         2    	13    	  99    	 99    	 0
test_ap10                         1    	100    	  93    	 93    	 0
test_ap10                         2    	1    	    68    	 60    	 0
test_ap11                         1    	40    	  94    	 91    	 0
test_ap11                         2    	11    	  71    	 71    	 0
test_ap12                         1    	48    	  95    	 86    	 0
test_ap12                         2    	6    	    87    	 75    	 0
test_ap13                         1    	48    	  90    	 86    	 0
test_ap13                         2    	1    	    87    	 84    	 0
test_ap14                         1    	112    	  93    	 79    	 0
test_ap14                         2    	9    	    74    	 74    	 0
test_ap15                         1    	40    	  88    	 88    	 0
test_ap15                         2    	5    	    64    	 64    	 0
test_ap16                         1    	60    	  93    	 78    	 0
test_ap16                         2    	13    	  73    	 73    	 0
test_ap17                         1    	44    	  93    	 93    	 0
test_ap18                         1    	100    	  94    	 93    	 0
test_ap19                         1    	108    	  98    	 98    	 0
test_ap19                         2    	1    	    72    	 72    	 0
test_ap20                         1    	108    	  100    	 100     0
test_ap21                         1    	136    	  95    	 92    	 0
test_ap21                         2    	13    	  75    	 73    	 0
test_ap22                         1    	40    	  71    	 71    	 0
test_ap22                         2    	6    	    29    	 24    	 0
test_ap23                         1    	100    	  100    	 100     0
test_ap23                         2    	1    	    39    	 39    	 0
test_ap24                         1    	116    	  95    	 95    	 0
test_ap24                         2    	1    	    52    	 52    	 0
test_ap25                         1    	108    	  63    	 63    	 0
test_ap25                         2    	6    	    41    	 33    	 0
test_ap26                         1    	44    	  72    	 61    	 0
test_ap26                         2    	1    	    37    	 22    	 0
test_ap27                         1    	44    	  74    	 61    	 0
test_ap27                         2    	6    	    39    	 31    	 1
test_ap28                         1    	116    	  100    	 100     0
test_ap28                         2    	1    	    48    	 48    	 0
test_ap29                         2    	11    	  49    	 49    	 1
test_ap29                         1    	40    	  83    	 83    	 0
test_ap30                         2    	1    	    35    	 27    	 1
test_ap30                         1    	104    	  52    	 52    	 0
test_ap31                         2    	11    	  62    	 48    	 0
test_ap31                         1    	112    	  75    	 71    	 0
test_ap32                         2    	11    	  38    	 27    	 0
test_ap32                         1    	112    	  76    	 72    	 0
test_ap33                         2    	1    	    35    	 35    	 0
test_ap33                         1    	116    	  100    	 100     0
test_ap34                         2    	1    	    64    	 41    	 0
test_ap35                         1    	108    	  69    	 69    	 0
